APP name,Cores,Warps,Threads,instrs,cycles,ipc,core_usage_rate,thread occupancy,alu_ratio,fpu_ratio,lsu_ratio,sfu_ratio,issue_stalls,stall_alu_ratio,stall_fpu_ratio,stall_lsu_ratio,stall_sfu_ratio,alu_instrs,fpu_instrs,sfu_instrs,lsu_instrs,loads,stores,split_instrs,avg_cycles,L2,Mapping,FLOP/BYTE
psort,4,16,4,4027470743,1248585422,3.23,100%,81%,57%,10%,7%,27%,5725723,5%,7%,86%,0%,2282346240,402661376,1073977350,268485925,67130617,24656,402663372,1248385619,0,TM,0.0937
psort,4,16,8,3369529450,653861814,5.15,50%,58%,68%,12%,4%,16%,21283922,5%,13%,81%,0%,2282637240,402661376,549985232,134245750,67131130,25120,204529545,326836822,0,TM,0.0937
psort,4,16,16,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,TM,#DIV/0!
psort,4,16,32,2857791956,432267201,6.61,25%,43%,80%,14%,1%,5%,112355360,37%,21%,41%,0%,2282421670,402661376,139143429,33565629,67134207,28162,51518548,108114084,0,TM,0.0937
psort,4,32,2,4027253707,2327724498,1.73,100%,87%,57%,10%,7%,27%,1514065,5%,2%,92%,0%,2282201456,402661376,1073905034,268485989,134240825,24720,402663564,2327600845,0,TM,0.0469
psort,4,32,4,4027566660,1251288642,3.22,50%,70%,57%,10%,7%,27%,4904797,5%,9%,84%,0%,2282412762,402661376,1074005712,268486958,67131148,25158,402664010,625161492,0,TM,0.0937
psort,4,32,8,3389745304,805949553,4.21,25%,58%,68%,12%,4%,16%,197811956,34%,29%,36%,0%,2296120902,402661376,556716365,134246809,67132186,26147,204530184,201524152,0,TM,0.0937
psort,4,32,16,3030413539,455852290,6.65,25%,56%,75%,13%,2%,9%,105667203,31%,28%,39%,0%,2283642952,402661376,276982666,67126693,67134207,28170,102604650,114012918,0,TM,0.0937
psort,4,32,32,2858482138,466017633,6.13,25%,54%,80%,14%,1%,5%,59367731,28%,26%,44%,0%,2282911274,402661376,139342983,33566653,67138303,32258,51519188,116579031,0,TM,0.0937
psort,8,2,2,4030788349,1787548216,2.25,100%,98%,57%,10%,7%,27%,5580964985,44%,31%,24%,0%,2284555668,402661376,1075086308,268485293,134238425,27180,402662568,1785684886,0,TM,0.0469
psort,8,2,4,4028115432,1045647566,3.85,100%,84%,57%,10%,7%,27%,2832479228,43%,33%,23%,0%,2282773782,402661376,1074194541,268486029,67128921,27436,402662664,1042319875,0,TM,0.0937
psort,8,2,8,3359866238,573541754,5.86,100%,79%,68%,12%,4%,16%,1466462027,42%,32%,25%,0%,2282653798,402661376,540303027,134248333,67129545,27948,202096506,573364565,0,TM,0.0937
psort,8,2,16,3028345634,309285719,9.79,100%,77%,75%,13%,2%,9%,772335263,40%,31%,28%,0%,2282237666,402661376,276317382,67129506,67130811,28975,102603545,309218759,0,TM,0.0937
psort,8,2,32,2857593840,343344318,8.32,50%,42%,80%,14%,1%,5%,432114580,36%,28%,35%,0%,2282265506,402661376,139097779,33569475,67131352,29459,51518079,171669250,0,TM,0.0937
psort,8,4,2,4037843774,1207266702,3.34,100%,86%,57%,10%,7%,27%,3888258596,34%,32%,32%,0%,2289259306,402661376,1077437343,268486045,134238793,27452,402662712,1205736297,0,TM,0.0469
psort,8,4,4,4032660756,647121966,6.23,100%,80%,57%,10%,7%,27%,1970003295,34%,33%,31%,0%,2285804062,402661376,1075708097,268487517,67129545,27964,402662904,646231097,0,TM,0.0937
psort,8,4,8,3371226071,336244307,10.03,100%,77%,68%,12%,4%,16%,1082811262,34%,34%,31%,0%,2283763078,402661376,550552092,134249821,67130793,28988,204529239,335841516,0,TM,0.0937
psort,8,4,16,3029273598,348191291,8.70,50%,46%,75%,13%,2%,9%,652646924,32%,32%,34%,0%,2282859774,402661376,276622972,67129772,67131352,29468,102603701,173957761,0,TM,0.0937
psort,8,4,32,2857648236,362886768,7.87,25%,29%,80%,14%,1%,5%,439616215,35%,28%,36%,0%,2282309100,402661376,139108376,33569680,67132352,30456,51518237,90749514,0,TM,0.0937
